🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
		toki ma	Etymology	Short Definition	Verb	Noun	Modifier	Particle	Preposition	Numeral	toki ma	词源	简略定义	动词	名词	修饰词	助词	介词	数词	toki ma	詞源	簡略定義	動詞	名詞	修飾詞	助詞	介詞	數詞	तोकी मा	मूल	मुख़तसिर अर्थ	क्रिया	संज्ञा	विशेषण	प्रतीक	पूर्वसर्ग	अंक	токи ма	Этимология	Краткое значение	Глагол	Существительное	Модификатор	Частица	Предлог	Числительное	toki ma	Etimologia	Definição curta	Verbo	Substantivo	Modificador	Partícula	Preposição	Numeral	toki ma	Ethymologie	Kurzdefinition	Verb	Nomen	Modifizierer	Partikel	Präposition	Zahlen
❗	particle	a	onomatopoeia	[emphasis]				shows emphasis or emotion			a	onomatopoeia	[强调]				啊（表示强调或情绪）			a	onomatopoeia	[強調]				啊（表示強調或情緒）			आ	अर्थानुरणन	[ज़ोर]				ज़ोर, भाव दिखाने का प्रतीक			а	звукоподражание	[акцент]				показывает акцент или эмоции			a	onomatopeia	[ênfase]				mostra ênfase ou emoção			a	Lautmalerei	[Betonung]				shows emphasis or emotion		
🧬	modifier	aja	Arabic حياة ḥayāh ‘life’	alive			alive				aja	Arabic حياة ḥayāh ‘life’	活的			活的、活着的				aja	Arabic حياة ḥayāh ‘life’	活的			活的、活著的				आया	अरबी حياة हयाह ‘ज़िंदगी’	ज़िंदा			ज़िंदा				ая	Арабский حياة ḥayāh ‘жизнь’	жизнь	жить	жизнь	живой				aja	Árabe حياة ḥayāh ‘vida’	vivo			vivo				aja	Arabisch حياة ḥayāh ‘Leben’	lebendig			lebendig			
🚨	modifier	ajuta	Portuguese ajuda 'help, aid, assistance'	helpful			helpful, assistive				ajuta	Portuguese ajuda 'help, aid, assistance'	辅助的			有帮助的、辅助性的				ajuta	Portuguese ajuda 'help, aid, assistance'	輔助的			有幫助的、輔助性的				आयूता	पोर्तूगी ajuda आयूदा 'मदद, सहायता'	मददगार			मददगार, सहायता करने वाला				аюта	Португальский ajuda 'помощь, содействие, поддержка'	помощь	помогать	помощь	полезный, вспомогательный				ajuta	Português ajuda	útil			útil, prestativo				ajuta	Portugiesisch ajuda 'Hilfe, Unterstützung'	hilfreich			hilfreich, unterstützend			
⛅	noun	aka	Bengali আকাশ aakaash	sky		sky, weather					aka	Bengali আকাশ aakaash	天空		天空、天气					aka	Bengali আকাশ aakaash	天空		天空、天氣					आका	बंगाली আকাশ आकाश	आकाश		आकाश, आसमान, मौसम, तापमान					ака	Бенгали আকাশ aakaash 'небо'	небо		небо, погода					aka	Bengáli আকাশ aakaash	céu		céu, clima					aka	Bengali আকাশ aakaash 'Himmel'	Himmel		Himmel, Wetter				
🦎	noun	aketi	Dutch hagedis ‘lizard’	lizard		reptile or amphibian					aketi	Dutch hagedis ‘lizard’	爬行类		爬行动物\两栖动物					aketi	Dutch hagedis ‘lizard’	爬行類		爬行動物\兩棲動物					आकेती	डच hagedis हागेदीस ‘छिपकली’	छिपकली		सरीसृप (रेप्टाइल) या उभयचर (एंफिबियन)					акэти	Датский hagedis ‘ящерица’	дракон		рептилия, амфибия (змея, лугушка, крокодил)					aketi	Neerlandês hagedis ‘lagarto’	lagarto		réptil ou anfíbio					aketi	Niederländisch hagedis ‘Eidechse’	Echse		Reptil oder Amphibie				
⏭️	modifier	akile	Hindi अगले agle 'next'	next			next, coming, in the future				akile	Hindi अगले agle 'next'	将来的			接下来的、将来的				akile	Hindi अगले agle 'next'	將來的			接下來的、將來的				आकीले	हिंदी अगले	अगला			अगला, आने वाला, भविष्य में				акилэ	Хинди अगले agle 'следующий'	следующий			следующий, наступающий, в будущем				akile	Híndi अगले agle 'próximo'	próximo			próximo, iminente, no futuro				akile	Hindi अगले agle 'nächste'	nächste			nächste, kommend, in der Zukunft			
🏹	verb	alasa	Acadian French à la chasse ‘hunting’, from French chasser ‘to hunt’	hunt	to hunt, to forage, to gather, to find, to look for	desirable thing, quarry, prey, thing being hunted					alasa	Acadian French à la chasse ‘hunting’, from French chasser ‘to hunt’	狩猎	狩猎、觅食、采集、寻找	猎物、收集物、被猎杀/捕捉/寻找的东西					alasa	Acadian French à la chasse ‘hunting’, from French chasser ‘to hunt’	狩獵	狩獵、覓食、採集、尋找	獵物、收集物、被獵殺/捕捉/尋找的東西					आलासा	Acadian French à la chasse ‘hunting’, from French chasser ‘to hunt’	ढूंड	शिकार करना, ढूंडना	जो चीज़ ढूंडी जा रही है					аласа	Французский акадский à la chasse ‘охота’, с Французского chasser ‘охотиться’	охота	охотиться, собирать, побираться, находить, искать	добыча, находка, предмет охоты, собирательство					alasa	Francês acadiano à la chasse ‘caçando’, do francês chasser ‘caçar’	caçar	caçar, vasculhar, colher, encontrar, procurar	coisa desejável, pedreira, presa, coisa sendo caçada					alasa	Akadisches Französisch à la chasse ‘jagend’, aus dem Französischen chasser ‘jagen’	jagen	jagen, suchen, sammeln, finden	begehrenswerte Sache,, Beute, Ding, das gejagt wird				
♾️	modifier	ali	Dutch alle ‘all’	all			all, countless, every, each				ali	Dutch alle ‘all’	所有的			所有的、无数的、每一个、每一个				ali	Dutch alle ‘all’	所有的			所有的、無數的、每一個、每一個				आली	डच alle आले ‘हर, सब’	हर			हर, सब, प्रति				али	Датский alle ‘всё’	всё		всё, весь	каждый, всякий, полный				ali	Neerlandês alle ‘todos’	todos			todos, incontáveis, cada				ali	Niederländisch alle ‘alle’	alle			alle, unzählige, sämtliche, jeder			
📍	preposition	an	Egyptian Arabic عند ʕand ‘at the house of’	at					located at, present at		an	Egyptian Arabic عند ʕand ‘at the house of’	在					位于、在		an	Egyptian Arabic عند ʕand ‘at the house of’	在					位於、在		आं	इजिप्ट की अरबी عند अंद ‘के घर’	में					में, पे, पर, के अंदर		ан	Египетский арабский عند ʕ ‘в доме’	в					в, у, на		an	Árabe egípcio عند ʕand ‘na casa de’	em					localizado em, presente em		an	Ägyptisches Arabisch عند ʕand ‘beim Haus von’	an					an, bei, zu, nach	
